Regulator,Target,divergence_score
ARPC1B,LTBP2,0.6215440413908031
ARPC1B,NUFIP2,0.6686958121467126
GLS,AK1,0.6840039874468687
GLS,SKP1,0.4511209184940004
GLS,TRIM28,0.2864899745139811
AK1,COL3A1,0.625088151350486
AK1,RPS26,0.5699580324380596
AK1,NUCB1,0.7267292610860321
AK1,CKAP4,0.5461931010303154
AK1,LRP1,0.5083991266450792
AK1,SYNPO2,0.5570096814169955
COL3A1,AK1,0.6277178417752811
COL3A1,CTSD,0.4934221223680332
COL3A1,TAGLN,0.4223762931010752
COL3A1,OGDH,0.3905524101331014
COL3A1,NEDD8,0.639489971443359
APOA2,SOD2,0.546578935217164
APOA2,MYL1,0.5599892180292881
APOA2,CTSD,0.6037911179571487
APOA2,DLST,0.5826593030898379
APOA2,MARS1,0.6478304966859533
APOA2,TMSB10,0.5532558486465331
APOA2,CKAP4,0.6592000027380699
APOA2,CIRBP,0.639773513329206
APOA2,LTBP2,0.3572321971921441
APOA2,NEDD8,0.6348814042725301
APOA2,NUFIP2,0.558466077699407
APOA2,RAB1B,0.47801658498935673
SOD2,APOA2,0.5462191117098157
SOD2,ATP5PF,0.5564059885066739
SOD2,SFPQ,0.611017252456747
SOD2,TMSB10,0.6332943058513867
SOD2,SYNPO2,0.6084433346904721
MYL1,APOA2,0.5642508487347653
MYL1,MDH2,0.7161258143373707
MYL1,ACAA2,0.6756283723278579
MYL1,TMSB10,0.5042901885637493
MYL1,OGDH,0.6011250887455977
MYL1,CKAP4,0.5736951245574515
MYL1,RAB1B,0.5927901544881424
TPM3,CTSD,0.6133127960232848
TPM3,TALDO1,0.4432569146473381
TPM3,ACAA2,0.6672900466435265
TPM3,CIRBP,0.6704644200137769
CTSD,COL3A1,0.4990763493738265
CTSD,APOA2,0.608340878724323
CTSD,UCHL3,0.650080358761604
CTSD,TALDO1,0.6608830900848669
CTSD,TMSB10,0.6166096377496815
CTSD,OGDH,0.493954556622506
CTSD,NUCB1,0.589523634097413
CTSD,CKAP4,0.5428826179982105
