#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0031982	Vesicle	27	3879	0.46	2.70e-05	9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000306330,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000414982,9606.ENSP00000446252	CTSD,LRP1,NEDD8,ATP6V1A,ATP6V1B2,PTX3,PRDX3,YWHAG,SRSF7,CTNNB1,RPS26,XRCC6,SNX6,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,KLC1,SOD2
GO:0005737	Cytoplasm	44	11428	0.2	5.95e-05	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000261973,9606.ENSP00000265069,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000340329,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000432282,9606.ENSP00000446252,9606.ENSP00000466897,9606.ENSP00000480359	OGDH,NUFIP2,CTSD,LRP1,NEDD8,RBM25,ZFR,ATP6V1A,ATP6V1B2,ACAA2,PTX3,PRDX3,SYNPO2,YWHAG,GLS,SRSF7,CAPRIN1,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,ATP5J,SEPT9,KLC1,TAGLN,SOD2,CIRBP,PDLIM5
GO:0070062	Extracellular exosome	19	2099	0.58	7.93e-05	9606.ENSP00000236671,9606.ENSP00000250495,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000306330,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000446252	CTSD,NEDD8,ATP6V1A,ATP6V1B2,YWHAG,SRSF7,CTNNB1,RPS26,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,CKAP4,PRDX4,NUCB1,SOD2
GO:0043229	Intracellular organelle	45	12528	0.17	8.50e-05	9606.ENSP00000215793,9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261973,9606.ENSP00000265069,9606.ENSP00000273398,9606.ENSP00000276079,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000340329,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897,9606.ENSP00000480359	SF3A1,OGDH,NUFIP2,CTSD,LRP1,NEDD8,TRIM28,RBM25,ZFR,ATP6V1A,NONO,ATP6V1B2,ACAA2,PTX3,PRDX3,SYNPO2,YWHAG,GLS,SRSF7,CAPRIN1,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,TPM3,CMPK1,RPL10A,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP,PDLIM5
GO:0005622	Intracellular	47	14276	0.14	9.13e-05	9606.ENSP00000215793,9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261973,9606.ENSP00000265069,9606.ENSP00000273398,9606.ENSP00000276079,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000340329,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000432282,9606.ENSP00000446252,9606.ENSP00000466897,9606.ENSP00000480359	SF3A1,OGDH,NUFIP2,CTSD,LRP1,NEDD8,TRIM28,RBM25,ZFR,ATP6V1A,NONO,ATP6V1B2,ACAA2,PTX3,PRDX3,SYNPO2,YWHAG,GLS,SRSF7,CAPRIN1,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,ATP5J,SEPT9,KLC1,TAGLN,SOD2,CIRBP,PDLIM5
GO:0043226	Organelle	46	13515	0.15	0.00013	9606.ENSP00000215793,9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261973,9606.ENSP00000265069,9606.ENSP00000273398,9606.ENSP00000276079,9606.ENSP00000276390,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000340329,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000414982,9606.ENSP00000446252,9606.ENSP00000466897,9606.ENSP00000480359	SF3A1,OGDH,NUFIP2,CTSD,LRP1,NEDD8,TRIM28,RBM25,ZFR,ATP6V1A,NONO,ATP6V1B2,ACAA2,PTX3,PRDX3,SYNPO2,YWHAG,GLS,SRSF7,CAPRIN1,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,ATP5J,SEPT9,KLC1,SOD2,CIRBP,PDLIM5
GO:0005829	Cytosol	28	5193	0.35	0.00030	9606.ENSP00000225388,9606.ENSP00000250495,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000317379,9606.ENSP00000340329,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000355217,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000414982,9606.ENSP00000480359	NUFIP2,NEDD8,ATP6V1A,ATP6V1B2,PRDX3,SYNPO2,YWHAG,GLS,CAPRIN1,CTNNB1,RPS26,XRCC6,MAP4,SNX6,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,KLC1,PDLIM5
GO:0042788	Polysomal ribosome	4	32	1.72	0.00030	9606.ENSP00000225388,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	NUFIP2,RPS26,RPL10A,RPL11
GO:0070013	Intracellular organelle lumen	30	5857	0.33	0.00030	9606.ENSP00000215793,9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261973,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000295927,9606.ENSP00000298510,9606.ENSP00000306015,9606.ENSP00000317379,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000348886,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000360939,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000446252,9606.ENSP00000466897	SF3A1,OGDH,NUFIP2,CTSD,NEDD8,TRIM28,RBM25,NONO,ACAA2,PTX3,PRDX3,SYNPO2,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,CMPK1,RPL11,BAG6,UCHL3,CKAP4,PRDX4,TMSB4X,XRCC5,NUCB1,SOD2,CIRBP
GO:0005615	Extracellular space	21	3195	0.44	0.00059	9606.ENSP00000236671,9606.ENSP00000250495,9606.ENSP00000273398,9606.ENSP00000276390,9606.ENSP00000295927,9606.ENSP00000306330,9606.ENSP00000325905,9606.ENSP00000344456,9606.ENSP00000348849,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000362271,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000365131,9606.ENSP00000367265,9606.ENSP00000368646,9606.ENSP00000385923,9606.ENSP00000389649,9606.ENSP00000446252	CTSD,NEDD8,ATP6V1A,ATP6V1B2,PTX3,YWHAG,SRSF7,CTNNB1,RPS26,COPA,TPM3,CMPK1,AK1,RPL10A,RPL11,BAG6,CKAP4,PRDX4,NUCB1,ATP5J,SOD2
