Entry,AS,PS,Role
ARPC1B,3.8157432156453597,3.784635074252994,0
GLS,5.778680302166331,4.767047571721675,0
AK1,1.116657791289221,4.963868673841718,0
COL3A1,2.1035789487430234,4.3013358512975755,0
APOA2,8.729230875770991,7.024735117847444,3
SOD2,5.1707285325661365,5.197738848820945,0
MYL1,7.687163706300938,5.942090701938041,2
TPM3,4.921661050497217,4.015009472604679,0
CTSD,3.8981163536765733,5.050227809960921,0
XRCC6,7.171543500246863,4.2157303140757,0
XRCC5,7.488687617067161,5.330289795247067,2
UCHL3,6.382339495388696,5.138460121104055,0
ATP5PF,4.690952480961042,4.300057915464041,0
ATP6V1B2,6.854901665576337,5.534215310757339,0
SFPQ,4.782842772656619,4.09593114758709,0
S100A4,6.002595211370347,6.561107164925718,1
MAP4,5.39878818866028,5.646484676654228,0
CMPK1,2.7067208476090463,4.7963468075976365,0
DLST,6.39645968705529,4.178855417012019,0
TALDO1,3.4862385503181783,5.4850566334586395,0
MDH2,5.130516318866672,4.194254885718043,0
ACAA2,4.8493470247879245,5.553143655492139,0
PXN,6.27368796528141,5.267696202497583,0
COPA,6.8650711439837195,5.619470521006211,0
MARS1,1.5983334942442555,5.865976143159097,0
YWHAG,7.113675163897296,5.026453403043901,0
TMSB4X,5.03452563988878,5.394531234843077,0
RPS26,1.3182569882713464,3.6550465309623856,0
RPL8,5.555042728155987,4.685847713498518,0
SKP1,4.187518804617259,5.569118008873329,0
TMSB10,5.5442986400780665,5.280331792671024,0
TAGLN,3.5170783705180613,4.016705366018479,0
OGDH,7.623761737859638,6.060293856050866,2
NUCB1,6.685812342407771,5.748779690796884,0
CALD1,3.895097628899263,3.0342346242518237,0
CKAP4,3.7402946439773905,6.223627069039504,1
LRP1,4.826009236860244,5.55197510542774,0
TRIM28,9.207702772559964,6.230096080069187,3
CIRBP,2.840368664043005,6.045906945546323,0
CAPRIN1,5.102155429622015,4.9336085723206855,0
LTBP2,4.916935580319432,5.796212643517305,0
NONO,6.722931852336404,5.414755675136908,0
NEDD8,7.3176185039673465,4.9850047121368535,0
NUFIP2,2.161441404943398,6.679010247939291,1
LMO7,4.976305353789096,5.195779949308668,0
AP2M1,5.525604447100725,5.7595623903002,0
PDLIM5,7.3590491646048,5.441719115220178,0
RAB1B,4.879779070449683,5.749147623540437,0
SEPTIN9,4.547480556235743,4.798229938679651,0
SYNPO2,4.389674842015463,4.18326218491198,0
