category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
GO Cellular Component,65,3,"P49023,P67936,Q16181",0.034,Stress fiber,0.7448663730489575
GO Cellular Component,73,3,"Q9UN86,P67809,Q14011",0.0426,Cytoplasmic stress granule,0.7182822031091927
GO Cellular Component,186,7,"Q02790,Q9UBR2,Q07954,P80723,Q96A49,O60716,Q07866",0.0001,Growth cone,0.7008476776731584
GO Cellular Component,405,10,"Q9HBL0,Q07954,P49023,Q9UHB9,P67936,Q15366,P62424,P05556,O15143,P17096",1.77e-05,Focal adhesion,0.6216485243473542
GO Cellular Component,820,14,"Q9HBL0,P16989,Q07954,P49023,P31949,Q9UHB9,P67936,Q15366,P62424,P05556,O60716,O15143,P17096,P05787",2.97e-06,Anchoring junction,0.56551006541469
GO Cellular Component,677,10,"Q9UHB9,Q71UM5,Q99613,P62854,Q9UN86,P62424,P67809,Q92841,Q9Y5S9,Q14011",0.00051,Ribonucleoprotein complex,0.5460513218067168
GO Cellular Component,2099,18,"Q02790,P14174,Q9UBR2,P56192,P31949,P80723,P67936,P62854,Q15366,P67809,Q07065,Q96A49,P05556,Q16181,O60716,O15143,P05787,Q99879",0.00015,Extracellular exosome,0.4837819854956948
GO Cellular Component,2075,17,"Q9HBL0,P16989,Q07954,P49023,P31949,Q9UHB9,O94925,P80723,P67936,Q15366,P62424,Q96A49,P05556,O60716,O15143,P17096,P05787",0.00044,Cell junction,0.4791845977607302
GO Cellular Component,1261,10,"Q02790,P05976,P67936,Q9UN86,P67809,Q07065,Q16181,Q07866,P05787,Q14011",0.0394,Supramolecular complex,0.4759277289769058
GO Cellular Component,5193,34,"Q02790,P14174,P16989,P63208,P56192,Q9UKY7,P49023,P05976,Q9UHB9,O94925,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q92841,Q16181,O60716,O15143,P17096,Q07866,P05787,Q9Y5S9,Q99879",6.89e-08,Cytosol,0.4578496664635076
