#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Function	GO:0003723	RNA binding	20	1649	0.74	1.64e-07	9606.ENSP00000225388,9606.ENSP00000243077,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000327070,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000357048,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000466897	NUFIP2,LRP1,TRIM28,RPL8,NONO,ACAA2,YWHAG,MDH2,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,COPA,RPL10A,RPL11,CKAP4,TMSB4X,XRCC5,CIRBP
GO Function	GO:0005488	Binding	41	12516	0.17	0.0023	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000243077,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261978,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000307280,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000432282,9606.ENSP00000446252,9606.ENSP00000466134,9606.ENSP00000466897,9606.ENSP00000480359	OGDH,NUFIP2,LRP1,PHPT1,NEDD8,TRIM28,LTBP2,RPL8,NONO,ACAA2,AP2M1,COL3A1,SYNPO2,YWHAG,MYL1,TALDO1,MDH2,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,UCHL3,CKAP4,TMSB4X,XRCC5,NUCB1,ARPC1B,ATP5J,SEPT9,TAGLN,SOD2,PRKCSH,CIRBP,PDLIM5
GO Function	GO:0005198	Structural molecule activity	9	635	0.81	0.0094	9606.ENSP00000262584,9606.ENSP00000304408,9606.ENSP00000307280,9606.ENSP00000348849,9606.ENSP00000353375,9606.ENSP00000357048,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000389631	RPL8,COL3A1,MYL1,RPS26,MAP4,COPA,RPL10A,RPL11,ARPC1B
GO Function	GO:0003676	Nucleic acid binding	21	3947	0.38	0.0205	9606.ENSP00000225388,9606.ENSP00000243077,9606.ENSP00000253024,9606.ENSP00000262584,9606.ENSP00000276079,9606.ENSP00000285093,9606.ENSP00000306330,9606.ENSP00000327070,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000357048,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000466897	NUFIP2,LRP1,TRIM28,RPL8,NONO,ACAA2,YWHAG,MDH2,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,COPA,RPL10A,RPL11,CKAP4,TMSB4X,XRCC5,NUCB1,CIRBP
GO Function	GO:0005515	Protein binding	29	7026	0.27	0.0205	9606.ENSP00000243077,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000253024,9606.ENSP00000261978,9606.ENSP00000276079,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000391249,9606.ENSP00000432282,9606.ENSP00000446252,9606.ENSP00000466134,9606.ENSP00000480359	LRP1,PHPT1,NEDD8,TRIM28,LTBP2,NONO,AP2M1,COL3A1,SYNPO2,YWHAG,MDH2,RPS26,SFPQ,XRCC6,MAP4,APOA2,COPA,TPM3,RPL11,UCHL3,TMSB4X,XRCC5,NUCB1,ARPC1B,SEPT9,TAGLN,SOD2,PRKCSH,PDLIM5
GO Function	GO:0070325	Lipoprotein particle receptor binding	3	27	1.7	0.0206	9606.ENSP00000243077,9606.ENSP00000292807,9606.ENSP00000356969	LRP1,AP2M1,APOA2
GO Component	GO:0042788	Polysomal ribosome	5	32	1.85	2.80e-05	9606.ENSP00000225388,9606.ENSP00000262584,9606.ENSP00000348849,9606.ENSP00000363018,9606.ENSP00000363676	NUFIP2,RPL8,RPS26,RPL10A,RPL11
GO Component	GO:0070062	Extracellular exosome	19	2099	0.61	2.80e-05	9606.ENSP00000236671,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000261978,9606.ENSP00000292807,9606.ENSP00000306330,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000446252	CTSD,PHPT1,NEDD8,LTBP2,AP2M1,YWHAG,TALDO1,MDH2,RPS26,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,CKAP4,NUCB1,ARPC1B,SOD2
GO Component	GO:0005737	Cytoplasm	40	11428	0.2	0.00016	9606.ENSP00000222673,9606.ENSP00000225388,9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000262584,9606.ENSP00000285093,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306015,9606.ENSP00000306330,9606.ENSP00000307280,9606.ENSP00000317379,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000340329,9606.ENSP00000348849,9606.ENSP00000349748,9606.ENSP00000352257,9606.ENSP00000353375,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000366819,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000391249,9606.ENSP00000432282,9606.ENSP00000446252,9606.ENSP00000466134,9606.ENSP00000466897,9606.ENSP00000480359	OGDH,NUFIP2,CTSD,LRP1,PHPT1,NEDD8,RPL8,ACAA2,AP2M1,COL3A1,SYNPO2,YWHAG,MYL1,GLS,TALDO1,MDH2,CAPRIN1,RPS26,SFPQ,XRCC6,MAP4,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,UCHL3,CKAP4,TMSB4X,XRCC5,NUCB1,ARPC1B,ATP5J,SEPT9,TAGLN,SOD2,PRKCSH,CIRBP,PDLIM5
GO Component	GO:0005576	Extracellular region	24	4166	0.42	0.00019	9606.ENSP00000236671,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000261978,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306330,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000446252	CTSD,PHPT1,NEDD8,LTBP2,AP2M1,COL3A1,YWHAG,TALDO1,MDH2,RPS26,XRCC6,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,CKAP4,TMSB4X,XRCC5,NUCB1,ARPC1B,ATP5J,SOD2
GO Component	GO:0005615	Extracellular space	21	3195	0.48	0.00019	9606.ENSP00000236671,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000261978,9606.ENSP00000292807,9606.ENSP00000304408,9606.ENSP00000306330,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000389649,9606.ENSP00000446252	CTSD,PHPT1,NEDD8,LTBP2,AP2M1,COL3A1,YWHAG,TALDO1,MDH2,RPS26,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,CKAP4,NUCB1,ARPC1B,ATP5J,SOD2
GO Component	GO:0031982	Vesicle	23	3879	0.43	0.00019	9606.ENSP00000236671,9606.ENSP00000243077,9606.ENSP00000247665,9606.ENSP00000250495,9606.ENSP00000261978,9606.ENSP00000292807,9606.ENSP00000306330,9606.ENSP00000321259,9606.ENSP00000327070,9606.ENSP00000348849,9606.ENSP00000352257,9606.ENSP00000356969,9606.ENSP00000357048,9606.ENSP00000357516,9606.ENSP00000360939,9606.ENSP00000363018,9606.ENSP00000363676,9606.ENSP00000367265,9606.ENSP00000370010,9606.ENSP00000375978,9606.ENSP00000385923,9606.ENSP00000389631,9606.ENSP00000446252	CTSD,LRP1,PHPT1,NEDD8,LTBP2,AP2M1,YWHAG,TALDO1,MDH2,RPS26,XRCC6,APOA2,COPA,TPM3,CMPK1,RPL10A,RPL11,CKAP4,TMSB4X,XRCC5,NUCB1,ARPC1B,SOD2
