#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA2	ZFR	9606.ENSP00000285093	9606.ENSP00000265069	0	0	0	0	0	0.458	0	0	0.457
ACAA2	UCHL3	9606.ENSP00000285093	9606.ENSP00000366819	0	0	0	0	0.057	0.741	0	0	0.745
ACAA2	MDH2	9606.ENSP00000285093	9606.ENSP00000327070	0	0	0	0	0.251	0.142	0	0.698	0.789
ACAA2	DLST	9606.ENSP00000285093	9606.ENSP00000335304	0.046	0	0	0	0.133	0	0.800	0.140	0.838
AK1	MARS	9606.ENSP00000362271	9606.ENSP00000262027	0	0	0	0	0.072	0.166	0	0.454	0.540
AK1	MYL1	9606.ENSP00000362271	9606.ENSP00000307280	0	0	0	0	0.463	0	0	0.291	0.602
APOA2	LRP1	9606.ENSP00000356969	9606.ENSP00000243077	0	0	0	0	0	0	0.900	0.162	0.912
ARPC1B	TPM3	9606.ENSP00000389631	9606.ENSP00000357516	0	0	0	0	0.257	0	0	0.232	0.405
ATP5J	NEDD8	9606.ENSP00000389649	9606.ENSP00000250495	0	0	0	0	0.393	0	0	0.090	0.424
ATP5J	ATP6V1A	9606.ENSP00000389649	9606.ENSP00000273398	0	0	0	0	0.077	0	0.720	0.277	0.797
ATP5J	PRDX3	9606.ENSP00000389649	9606.ENSP00000298510	0	0	0	0	0.212	0.272	0	0.371	0.608
ATP5J	MDH2	9606.ENSP00000389649	9606.ENSP00000327070	0	0	0	0	0.200	0.117	0	0.353	0.504
ATP5J	BAG6	9606.ENSP00000389649	9606.ENSP00000365131	0	0	0	0	0	0	0	0.729	0.729
ATP6V1A	PRDX4	9606.ENSP00000273398	9606.ENSP00000368646	0	0	0	0	0.070	0.400	0	0	0.418
ATP6V1A	PRDX3	9606.ENSP00000273398	9606.ENSP00000298510	0	0	0	0	0.121	0.537	0	0.142	0.620
ATP6V1A	ATP5J	9606.ENSP00000273398	9606.ENSP00000389649	0	0	0	0	0.077	0	0.720	0.277	0.797
ATP6V1A	ATP6V1B2	9606.ENSP00000273398	9606.ENSP00000276390	0.219	0	0.448	0.584	0.844	0.985	0.800	0.905	0.999
ATP6V1B2	ATP6V1A	9606.ENSP00000276390	9606.ENSP00000273398	0.219	0	0.448	0.584	0.844	0.985	0.800	0.905	0.999
ATP6V1B2	PRDX3	9606.ENSP00000276390	9606.ENSP00000298510	0	0	0	0	0.068	0.348	0	0.103	0.408
ATP6V1B2	YWHAG	9606.ENSP00000276390	9606.ENSP00000306330	0	0	0	0	0.134	0.114	0	0.356	0.463
BAG6	ATP5J	9606.ENSP00000365131	9606.ENSP00000389649	0	0	0	0	0	0	0	0.729	0.729
