ID,Description,Count,Strength,p.adjust,geneID,GeneRatio,pvalue,qvalue,BgRatio
GO:0051649,Establishment of localization in cell,28,0.51,0.0001,"SERPINE1,FIS1,CTSD,RPS16,RPL8,GRPEL1,PTX3,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,SNX27,RPL10A,RPL11,CKAP4,PRDX4,TMSB4X,XRCC5,ATP5J,RPL30,TRAPPC3",28/72,0.0001,0.0001,28/72
GO:0051234,Establishment of localization,38,0.36,0.00025,"PSMD8,SERPINE1,FIS1,CTSD,LRP1,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,ARPC1B,ATP5J,KLC1,RPL30,TRAPPC3",38/72,0.00025,0.00025,38/72
GO:0051641,Cellular localization,30,0.44,0.00027,"SERPINE1,FIS1,CTSD,RPS16,RPL8,GRPEL1,PTX3,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,COPA,SNX27,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,ATP5J,SEPT9,RPL30,TRAPPC3",30/72,0.00027,0.00027,30/72
GO:0006810,Transport,36,0.35,0.00068,"PSMD8,SERPINE1,FIS1,CTSD,LRP1,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,CKAP4,PRDX4,TMSB4X,XRCC5,ARPC1B,ATP5J,KLC1,RPL30,TRAPPC3",36/72,0.00068,0.00068,36/72
GO:0044248,Cellular catabolic process,22,0.53,0.00068,"PSMD8,OGDH,FIS1,LRP1,NEDD8,RPS16,RPL8,ACAA2,PRDX3,SYNPO2,RAB1B,GLS,DLST,CTNNB1,RPS26,APOA2,RPL10A,RPL11,BAG6,UCHL3,GPX1,RPL30",22/72,0.00068,0.00068,22/72
GO:0008104,Protein localization,24,0.48,0.00074,"FIS1,LRP1,NEDD8,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,SFPQ,SNX6,COPA,SNX27,RPL10A,RPL11,BAG6,TMSB4X,XRCC5,SEPT9,RPL30",24/72,0.00074,0.00074,24/72
GO:0033036,Macromolecule localization,26,0.46,0.00074,"FIS1,LRP1,NEDD8,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,YWHAG,RAB1B,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,BAG6,TMSB4X,XRCC5,SEPT9,RPL30",26/72,0.00074,0.00074,26/72
GO:0051179,Localization,41,0.3,0.00078,"PSMD8,SERPINE1,FIS1,CTSD,LRP1,NEDD8,RPS16,RPL8,GRPEL1,ATP6V1A,ATP6V1B2,ACAA2,PTX3,YWHAG,RAB1B,GLS,SRSF7,CTNNB1,RPS26,STOML2,SFPQ,XRCC6,MAP4,SNX6,APOA2,COPA,SNX27,RPL10A,RPL11,BAG6,CKAP4,PRDX4,TMSB4X,XRCC5,ARPC1B,ATP5J,SEPT9,GPX1,KLC1,RPL30,TRAPPC3",41/72,0.00078,0.00078,41/72
GO:0044403,Symbiotic process,15,0.67,0.00079,"RPS16,TRIM28,RPL8,PTX3,RAB1B,CTNNB1,RPS26,XRCC6,APOA2,RPL10A,RPL11,XRCC5,GPX1,KLC1,RPL30",15/72,0.00079,0.00079,15/72
GO:0009056,Catabolic process,23,0.49,0.00084,"PSMD8,OGDH,FIS1,CTSD,LRP1,NEDD8,RPS16,RPL8,ACAA2,PRDX3,SYNPO2,RAB1B,GLS,DLST,CTNNB1,RPS26,APOA2,RPL10A,RPL11,BAG6,UCHL3,GPX1,RPL30",23/72,0.00084,0.00084,23/72
