,ID,Description,Count,Strength,p.adjust,geneID,GeneRatio,pvalue,qvalue,BgRatio
124,HSA-71291,Metabolism of amino acids and derivative...,11,0.91,0.00025,"PSMD8,OGDH,RPS16,MARS,RPL8,GLS,DLST,RPS26,RPL10A,RPL11,RPL30",11/72,0.00025,0.00025,11/72
125,HSA-2408522,Selenoamino acid metabolism,7,1.22,0.00033,"RPS16,MARS,RPL8,RPS26,RPL10A,RPL11,RPL30",7/72,0.00033,0.00033,7/72
138,HSA-975956,Nonsense Mediated Decay (NMD) independen...,6,1.24,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
136,HSA-9010553,Regulation of expression of SLITs and RO...,7,1.06,0.00056,"PSMD8,RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",7/72,0.00056,0.00056,7/72
135,HSA-72764,Eukaryotic Translation Termination,6,1.25,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
134,HSA-72706,GTP hydrolysis and joining of the 60S ri...,6,1.17,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
133,HSA-72689,Formation of a pool of free 40S subunits,6,1.22,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
132,HSA-5663205,Infectious disease,14,0.66,0.00056,"PSMD8,RPS16,TRIM28,RPL8,CTNNB1,RPS26,SFPQ,XRCC6,RPL10A,RPL11,XRCC5,ARPC1B,RPL30,PRKCSH",14/72,0.00056,0.00056,14/72
137,HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid...,6,1.22,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
130,HSA-2262752,Cellular responses to stress,12,0.78,0.00056,"PSMD8,RPS16,RPL8,ATP6V1A,ATP6V1B2,PRDX3,RPS26,RPL10A,RPL11,GPX1,RPL30,SOD2",12/72,0.00056,0.00056,12/72
129,HSA-192823,Viral mRNA Translation,6,1.27,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
128,HSA-1799339,SRP-dependent cotranslational protein ta...,6,1.17,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
127,HSA-156902,Peptide chain elongation,6,1.27,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
131,HSA-2408557,Selenocysteine synthesis,6,1.25,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
126,HSA-156827,L13a-mediated translational silencing of...,6,1.18,0.00056,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00056,0.00056,6/72
139,HSA-975957,Nonsense Mediated Decay (NMD) enhanced b...,6,1.16,0.00059,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.00059,0.00059,6/72
140,HSA-392499,Metabolism of proteins,21,0.46,0.00062,"PSMD8,CTSD,NEDD8,RPS16,TRIM28,MARS,RPL8,RAB1B,CTNNB1,RPS26,APOA2,COPA,PFDN4,RPL10A,RPL11,UCHL3,CKAP4,NUCB1,RPL30,PRKCSH,TRAPPC3",21/72,0.00062,0.00062,21/72
141,HSA-1430728,Metabolism,20,0.42,0.004,"PSMD8,OGDH,LRP1,RPS16,MARS,RPL8,ACAA2,GLS,TALDO1,MDH2,DLST,RPS26,APOA2,CMPK1,AK1,RPL10A,RPL11,ATP5J,GPX1,RPL30",20/72,0.004,0.004,20/72
142,HSA-6791226,Major pathway of rRNA processing in the ...,6,0.96,0.005,"RPS16,RPL8,RPS26,RPL10A,RPL11,RPL30",6/72,0.005,0.005,6/72
143,HSA-71403,Citric acid cycle (TCA cycle),3,1.57,0.0077,"OGDH,MDH2,DLST",3/72,0.0077,0.0077,3/72
144,HSA-72766,Translation,7,0.82,0.0077,"RPS16,MARS,RPL8,RPS26,RPL10A,RPL11,RPL30",7/72,0.0077,0.0077,7/72
145,HSA-1643685,Disease,16,0.45,0.0094,"PSMD8,RPS16,TRIM28,RPL8,TALDO1,CTNNB1,RPS26,SFPQ,XRCC6,RPL10A,RPL11,XRCC5,ARPC1B,RPL30,SOD2,PRKCSH",16/72,0.0094,0.0094,16/72
146,HSA-168249,Innate Immune System,12,0.5,0.0237,"PSMD8,CTSD,ATP6V1A,ATP6V1B2,PTX3,CTNNB1,XRCC6,CKAP4,PRDX4,XRCC5,ARPC1B,PRKCSH",12/72,0.0237,0.0237,12/72
147,HSA-3299685,Detoxification of Reactive Oxygen Specie...,3,1.34,0.0271,"PRDX3,GPX1,SOD2",3/72,0.0271,0.0271,3/72
148,HSA-164843,2-LTR circle formation,2,1.89,0.0291,"XRCC6,XRCC5",2/72,0.0291,0.0291,2/72
149,HSA-8953854,Metabolism of RNA,9,0.57,0.0431,"PSMD8,SF3A1,RPS16,RPL8,SRSF7,RPS26,RPL10A,RPL11,RPL30",9/72,0.0431,0.0431,9/72
150,HSA-8957275,Post-translational protein phosphorylati...,4,1.01,0.0431,"APOA2,CKAP4,NUCB1,PRKCSH",4/72,0.0431,0.0431,4/72
