category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,2919,19,"Q02790,P14174,P63208,P56192,P49023,P05976,P37837,P62854,Q9UN86,P27816,P06753,Q07065,P62328,Q16181,Q8WX93,P62888,P05787,Q9Y5S9,Q96HC4",2.11e-06,Cytosol,0.45735580325195646
COMPARTMENTS,36,5,"Q99439,P49023,P06753,Q16181,Q8WX93",4.12e-06,Stress fiber,1.1664072431120378
COMPARTMENTS,3196,19,"Q7Z417,Q99439,P49023,P05976,P62854,Q9UN86,P27816,P06753,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q14011,Q99879,Q96HC4",4.12e-06,Intracellular non-membrane-bounded organelle,0.4492657307103212
COMPARTMENTS,355,8,"Q99439,P49023,P05976,P06753,Q16181,O15143,Q8WX93,Q96HC4",1.13e-05,Actin cytoskeleton,0.6071131688086074
COMPARTMENTS,7871,26,"Q02790,P14174,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,O94925,P37837,P62854,Q9UN86,P27816,P06753,P60903,Q07065,P62328,Q16181,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",1.15e-05,Cytoplasm,0.4030539292350482
COMPARTMENTS,11202,29,"Q02790,P14174,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,O94925,P37837,P62854,Q9UN86,P27816,P06753,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q99879,Q96HC4",2.17e-05,Intracellular,0.3865632813861434
COMPARTMENTS,769,10,"Q7Z417,P05976,Q9UN86,P27816,P06753,Q07065,Q8WX93,P05787,Q14011,Q96HC4",2.17e-05,Supramolecular complex,0.5302431217234964
COMPARTMENTS,1526,12,"Q99439,P49023,P05976,P27816,P06753,Q07065,P62328,Q16181,O15143,Q8WX93,P05787,Q96HC4",0.00015,Cytoskeleton,0.475200636077981
COMPARTMENTS,9848,27,"Q02790,P14174,Q7Z417,P63208,Q99439,P49023,P31949,P05976,O94925,P37837,P62854,Q9UN86,P27816,P06753,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q9Y5S9,Q14011,Q99879,Q96HC4",0.00017,Organelle,0.3903223056977513
COMPARTMENTS,9242,26,"Q02790,P14174,Q7Z417,P63208,Q99439,P49023,P31949,P05976,O94925,P37837,P62854,Q9UN86,P27816,P06753,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q9Y5S9,Q14011,Q99879,Q96HC4",0.00034,Intracellular organelle,0.3920348528569237
