category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,7871,26,"Q02790,P14174,P07339,Q99439,P31949,P13667,P23284,Q99460,Q13200,P50579,Q99613,Q96AC1,O00232,P62854,Q9NZM1,P22061,P60903,P17174,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.00048,Cytoplasm,0.4030539292350482
COMPARTMENTS,11202,29,"Q02790,P14174,P14866,P07339,Q99439,P31949,P13667,P23284,Q99460,Q13200,P50579,Q16629,Q99613,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,P22061,P60903,P17174,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.0015,Intracellular,0.3865632813861434
COMPARTMENTS,61,4,"Q99460,Q13200,O00232,Q9UMX0",0.0022,Proteasome complex,0.8451150515021619
COMPARTMENTS,19,3,"Q99460,Q13200,O00232",0.0024,Proteasome regulatory particle,1.2474530964797659
COMPARTMENTS,2812,15,"P14174,P14866,P07339,Q99439,P13667,P23284,Q99460,Q13200,Q9Y2W1,O00232,P62854,Q01518,P40939,P05783,P14314",0.0024,Intracellular organelle lumen,0.4399617122402487
COMPARTMENTS,8685,25,"Q02790,P14174,P14866,P07339,Q99439,P31949,P13667,P23284,Q99460,Q13200,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,P60903,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.0035,Membrane-bounded organelle,0.39357205306479803
COMPARTMENTS,368,6,"P14174,P07339,Q9NZM1,P60903,P05783,P05787",0.0039,Extracellular exosome,0.5593787325876424
COMPARTMENTS,3,2,"Q99460,Q13200",0.0041,Proteasome storage granule,5.678841337845492
COMPARTMENTS,7476,23,"Q02790,P14174,P14866,P07339,P31949,P13667,P23284,Q99460,Q13200,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.0041,Intracellular membrane-bounded organelle,0.39809829135896013
COMPARTMENTS,2919,14,"Q02790,P14174,Q99460,Q13200,P50579,Q96AC1,O00232,P62854,P22061,P17174,Q9UMX0,P05783,P62888,P05787",0.0057,Cytosol,0.4312004467347121
COMPARTMENTS,125,4,"P14174,P07339,Q13200,O00232",0.0062,ficolin-1-rich granule lumen,0.6689629839340642
COMPARTMENTS,704,7,"P14174,P07339,Q99439,Q99460,Q13200,O00232,Q01518",0.0091,Secretory granule,0.4993818603571978
COMPARTMENTS,4636,17,"Q02790,P14174,P14866,P31949,P23284,Q99460,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,Q9UMX0,P05783,P62888,P05787,Q92804",0.0119,Nucleus,0.41056035024584964
COMPARTMENTS,9,2,"Q99460,Q13200",0.013,"Proteasome regulatory particle, base subcomplex",1.5308930065153623
COMPARTMENTS,2051,11,"P14174,P07339,Q99439,Q99460,Q13200,O00232,Q9NZM1,P60903,Q01518,P05783,P05787",0.0134,Vesicle,0.4404172737457057
COMPARTMENTS,9242,24,"Q02790,P14174,P14866,P07339,Q99439,P31949,P13667,P23284,Q99460,Q13200,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.0212,Intracellular organelle,0.3867640489466129
COMPARTMENTS,3080,13,"P14174,P07339,Q99439,P13667,P23284,Q99460,Q13200,O00232,P62854,Q9NZM1,Q01518,Q9UMX0,P14314",0.0255,Endomembrane system,0.4211220743086996
COMPARTMENTS,16,2,"P05783,P05787",0.0272,Keratin filament,1.107308138829782
COMPARTMENTS,230,4,"P07339,Q99439,Q99460,Q01518",0.0328,Secretory granule lumen,0.5682887453612782
COMPARTMENTS,13853,29,"Q02790,P14174,P14866,P07339,Q99439,P31949,P13667,P23284,Q99460,Q13200,P50579,Q16629,Q99613,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,P22061,P60903,P17174,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.0328,Cellular anatomical entity,0.37325315150435656
COMPARTMENTS,985,7,"P14174,P07339,P13667,Q9NZM1,P60903,P05783,P05787",0.0414,Extracellular space,0.4654758449828446
GO Biological Process,574,8,"P14866,Q99460,Q13200,Q99613,Q9Y2W1,O00232,P62888,Q92804",0.0069,Posttranscriptional regulation of gene expression,0.5388445185620839
GO Biological Process,125,5,"Q99460,Q13200,O00232,P05783,P05787",0.0069,Tumor necrosis factor-mediated signaling pathway,0.7153377673282092
GO Biological Process,484,8,"P14174,P07339,Q99439,P31949,Q99460,Q13200,O00232,Q01518",0.0069,Neutrophil degranulation,0.5612439580551801
GO Biological Process,183,5,"Q99460,Q13200,Q9Y2W1,O00232,Q92804",0.0069,Regulation of mrna stability,0.6395979904993512
GO Biological Process,338,7,"P14866,Q99460,Q13200,Q16629,Q9Y2W1,O00232,Q92804",0.0069,Regulation of mrna metabolic process,0.5938878275382361
GO Biological Process,85,4,"P14866,Q16629,Q9Y2W1,Q92804",0.0071,Negative regulation of mrna metabolic process,0.7533751577806389
GO Biological Process,979,9,"P14174,P07339,Q99439,P31949,P13667,Q99460,Q13200,O00232,Q01518",0.0075,Secretion by cell,0.491028616882326
GO Biological Process,27,3,"P14866,Q16629,P62854",0.0078,Negative regulation of rna splicing,1.0479505389432093
GO Biological Process,2967,14,"P14174,P07339,Q99439,P31949,Q99460,Q13200,Q16629,Q96AC1,O00232,P62854,P60903,Q01518,P05783,P62888",0.0212,Cellular localization,0.42988740407399917
