category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,7871,38,"Q02790,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P13667,P05976,Q9UHB9,O94925,P80723,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q16181,O60716,Q01995,P05787,Q9Y5S9,Q14011",3.53e-05,Cytoplasm,0.4317040913815202
COMPARTMENTS,11202,44,"Q02790,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P13667,P05976,Q9UHB9,O94925,P80723,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,O15143,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q99879",3.64e-05,Intracellular,0.41563076595255266
COMPARTMENTS,2919,23,"Q02790,P14174,P16989,P63208,P56192,Q9UKY7,P49023,P05976,Q9UHB9,O00629,P67936,P62854,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,P62328,Q16181,P05787,Q9Y5S9",3.64e-05,Cytosol,0.4753405185799218
COMPARTMENTS,9242,39,"Q02790,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P49023,P31949,P13667,P05976,Q9UHB9,O94925,P80723,Q71UM5,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O15143,P17096,Q07866,P05787,Q9Y5S9,Q14011,Q99879",0.00027,Intracellular organelle,0.4210795193217552
COMPARTMENTS,4636,27,"Q02790,P14174,P16989,P63208,P49756,P31949,Q9UHB9,P80723,Q71UM5,O00629,P62854,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q92841,Q16181,P17096,P05787,Q9Y5S9,Q14011,Q99879",0.00035,Nucleus,0.44743263187972415
COMPARTMENTS,255,7,"Q9HBL0,Q07954,P49023,Q9UHB9,P67936,P05556,O15143",0.0011,Focal adhesion,0.639696251627611
COMPARTMENTS,92,5,"Q02790,P80723,Q96A49,Q16181,Q07866",0.0011,Site of polarized growth,0.7876416230270885
COMPARTMENTS,540,9,"Q9HBL0,P16989,Q07954,P49023,Q9UHB9,P67936,P05556,O60716,O15143",0.0012,Anchoring junction,0.5620962462310185
COMPARTMENTS,13853,45,"Q02790,Q9HBL0,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P56192,Q9UKY7,P49023,P31949,P13667,P05976,Q9UHB9,O94925,P80723,Q71UM5,Q99613,O00629,P67936,P62854,Q6NZI2,Q15366,Q9UN86,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,O60716,O15143,P17096,Q07866,Q01995,P05787,Q9Y5S9,Q14011,Q99879",0.0039,Cellular anatomical entity,0.40185453141263694
COMPARTMENTS,1045,11,"Q9HBL0,P16989,Q07954,P49023,Q9UHB9,P80723,P67936,Q96A49,P05556,O60716,O15143",0.0059,Cell junction,0.5055000939304772
COMPARTMENTS,7476,32,"Q02790,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P31949,P13667,Q9UHB9,O94925,P80723,Q71UM5,O00629,P62854,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,Q92841,Q16181,P17096,P05787,Q9Y5S9,Q14011,Q99879",0.0059,Intracellular membrane-bounded organelle,0.422176527296495
COMPARTMENTS,80,4,"Q02790,P80723,Q96A49,Q07866",0.008,Growth cone,0.7653890885463381
COMPARTMENTS,36,3,"P49023,P67936,Q16181",0.0171,Stress fiber,0.9164386901079065
COMPARTMENTS,8685,33,"Q02790,P14174,Q9UBR2,P16989,P63208,Q07954,P49756,P31949,P13667,Q9UHB9,O94925,P80723,Q71UM5,O00629,P62854,Q6NZI2,Q15366,P62424,P67809,Q9UMX0,P15374,Q07065,Q96A49,P62328,Q86UP2,P05556,Q92841,Q16181,P17096,P05787,Q9Y5S9,Q14011,Q99879",0.0382,Membrane-bounded organelle,0.4131538458636328
COMPARTMENTS,59,3,"Q9UN86,P67809,Q14011",0.0486,Cytoplasmic stress granule,0.7685627134356309
GO Biological Process,2583,20,"Q02790,Q9HBL0,P14174,Q9UBR2,P63208,P49023,O94925,Q71UM5,Q99613,Q9UN86,P62424,Q9UMX0,P05556,Q92841,Q16181,O60716,P17096,P05787,Q14011,Q99879",0.0092,Cellular component biogenesis,0.4736278083610402
GO Biological Process,2359,18,"Q02790,Q9HBL0,P14174,Q9UBR2,P63208,P49023,O94925,Q71UM5,Q99613,Q9UN86,Q9UMX0,P05556,Q16181,O60716,P17096,P05787,Q14011,Q99879",0.0268,Cellular component assembly,0.4722016097859535
GO Biological Process,865,11,"P63208,O00629,P62854,Q15366,Q9UN86,P62424,P05556,O60716,P17096,Q07866,P05787",0.0268,Symbiotic process,0.527363520104442
GO Biological Process,776,10,"P63208,O00629,P62854,Q15366,Q9UN86,P62424,P05556,P17096,Q07866,P05787",0.0436,Viral process,0.5289547114552908
