category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,2919,16,"Q02790,P63208,P56192,P49023,P05976,P37837,Q9UN86,P27816,Q07065,P62328,Q16181,Q8WX93,P62888,P05787,Q9Y5S9,Q96HC4",3.16e-05,Cytosol,0.44225985523950867
COMPARTMENTS,3196,16,"Q7Z417,Q99439,P49023,P05976,Q9UN86,P27816,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q14011,Q96HC4",5.93e-05,Intracellular non-membrane-bounded organelle,0.4346906077541329
COMPARTMENTS,36,4,"Q99439,P49023,Q16181,Q8WX93",8.88e-05,Stress fiber,1.0479516371446924
COMPARTMENTS,7871,22,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",8.88e-05,Cytoplasm,0.39160290103956547
COMPARTMENTS,355,7,"Q99439,P49023,P05976,Q16181,O15143,Q8WX93,Q96HC4",8.88e-05,Actin cytoskeleton,0.5864654404135564
COMPARTMENTS,769,9,"Q7Z417,P05976,Q9UN86,P27816,Q07065,Q8WX93,P05787,Q14011,Q96HC4",8.88e-05,Supramolecular complex,0.5176830619390461
COMPARTMENTS,1526,11,"Q99439,P49023,P05976,P27816,Q07065,P62328,Q16181,O15143,Q8WX93,P05787,Q96HC4",0.00013,Cytoskeleton,0.4668181354824346
COMPARTMENTS,11202,24,"Q02790,Q7Z417,P63208,P56192,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,Q01995,P05787,Q9Y5S9,Q14011,Q96HC4",0.0003,Intracellular,0.3746603245263269
COMPARTMENTS,9848,22,"Q02790,Q7Z417,P63208,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,P60903,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q9Y5S9,Q14011,Q96HC4",0.0037,Organelle,0.3772267659543257
COMPARTMENTS,9242,21,"Q02790,Q7Z417,P63208,Q99439,P49023,P31949,P05976,P37837,Q9UN86,P27816,Q07065,P62328,Q16181,O15143,P17096,Q8WX93,P62888,P05787,Q9Y5S9,Q14011,Q96HC4",0.0081,Intracellular organelle,0.3782796844696978
COMPARTMENTS,59,3,"Q7Z417,Q9UN86,Q14011",0.009,Cytoplasmic stress granule,0.7729583567903986
COMPARTMENTS,4636,14,"Q02790,Q7Z417,P63208,P31949,P37837,Q07065,P62328,Q16181,P17096,Q8WX93,P62888,P05787,Q9Y5S9,Q14011",0.0366,Nucleus,0.39682297311676235
COMPARTMENTS,255,4,"Q99439,P49023,O15143,Q8WX93",0.0366,Focal adhesion,0.5541762143121325
COMPARTMENTS,490,5,"P05976,P27816,Q8WX93,P05787,Q96HC4",0.0366,Supramolecular fiber,0.5022031461958567
