category,BackgroundGeneCount,ProteinCount,ProteinNames,FDR,Description,Strength
COMPARTMENTS,8685,24,"Q02790,P14174,P14866,P07339,Q99439,P31949,P13667,Q99460,Q13200,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,P60903,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.00012,Membrane-bounded organelle,0.3908450669834595
COMPARTMENTS,7476,22,"Q02790,P14174,P14866,P07339,P31949,P13667,Q99460,Q13200,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.00044,Intracellular membrane-bounded organelle,0.39506225719171245
COMPARTMENTS,61,4,"Q99460,Q13200,O00232,Q9UMX0",0.00069,Proteasome complex,0.8451157657222158
COMPARTMENTS,11202,25,"Q02790,P14174,P14866,P07339,Q99439,P31949,P13667,Q99460,Q13200,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,P60903,P17174,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.00069,Intracellular,0.37716555833348064
COMPARTMENTS,7871,22,"Q02790,P14174,P07339,Q99439,P31949,P13667,Q99460,Q13200,Q96AC1,O00232,P62854,Q9NZM1,P60903,P17174,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.00069,Cytoplasm,0.39160290103956547
COMPARTMENTS,19,3,"Q99460,Q13200,O00232",0.00069,Proteasome regulatory particle,1.2474546526209351
COMPARTMENTS,9242,23,"Q02790,P14174,P14866,P07339,Q99439,P31949,P13667,Q99460,Q13200,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,Q01518,Q9UMX0,P40939,P05783,P62888,P05787,P14314,Q92804",0.00069,Intracellular organelle,0.3840189547088694
COMPARTMENTS,2812,14,"P14174,P14866,P07339,Q99439,P13667,Q99460,Q13200,Q9Y2W1,O00232,P62854,Q01518,P40939,P05783,P14314",0.00069,Intracellular organelle lumen,0.434237493252061
COMPARTMENTS,368,6,"P14174,P07339,Q9NZM1,P60903,P05783,P05787",0.0011,Extracellular exosome,0.5593790454923839
COMPARTMENTS,3,2,"Q99460,Q13200",0.0023,Proteasome storage granule,5.678873587267572
COMPARTMENTS,4636,16,"Q02790,P14174,P14866,P31949,Q99460,Q16629,Q96AC1,Q9Y2W1,O00232,P62854,Q9NZM1,Q9UMX0,P05783,P62888,P05787,Q92804",0.0024,Nucleus,0.40616997461126725
COMPARTMENTS,704,7,"P14174,P07339,Q99439,Q99460,Q13200,O00232,Q01518",0.0024,Secretory granule,0.4993821097395648
COMPARTMENTS,2051,11,"P14174,P07339,Q99439,Q99460,Q13200,O00232,Q9NZM1,P60903,Q01518,P05783,P05787",0.0024,Vesicle,0.4404174677131662
COMPARTMENTS,125,4,"P14174,P07339,Q13200,O00232",0.0024,ficolin-1-rich granule lumen,0.6689634314458374
COMPARTMENTS,9,2,"Q99460,Q13200",0.0079,"Proteasome regulatory particle, base subcomplex",1.5308953501523477
COMPARTMENTS,2919,12,"Q02790,P14174,Q99460,Q13200,Q96AC1,O00232,P62854,P17174,Q9UMX0,P05783,P62888,P05787",0.0081,Cytosol,0.4191022007094625
COMPARTMENTS,3080,12,"P14174,P07339,Q99439,P13667,Q99460,Q13200,O00232,P62854,Q9NZM1,Q01518,Q9UMX0,P14314",0.0133,Endomembrane system,0.4150463481269475
